발생년,발생월,발생일,발생시,주야,요일,발생지시도,사고유형_대분류,가해자법규위반,도로형태_대분류,가해자_당사자종별,피해자_당사자종별,경도,위도,사상자수
2019,1,8,17,주,화,울산,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,129.3380881,35.42654748,1.0
2019,1,8,18,야,화,경기,차대차,안전운전 의무 불이행,교차로,승용차,이륜차,127.1186172,36.99102781,1.0
2019,1,8,18,야,화,경기,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,127.6273662,37.50603969,1.0
2019,1,8,18,야,화,경남,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,129.1572979,35.39865608,1.3
2019,1,8,19,야,화,충남,차대사람,과속,단일로,승용차,보행자,126.6443063,36.59083734,1.0
2019,1,8,21,야,화,경기,차대차,안전운전 의무 불이행,교차로,화물차,이륜차,127.2428773,37.01264499,1.0
2019,1,9,6,주,수,충남,차대사람,과속,단일로,승용차,보행자,127.1491814,36.60558189,1.0
2019,1,9,18,야,수,경기,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,126.9105416,37.13220475,1.7
2019,1,10,1,야,목,경기,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,127.2400081,37.24710726,2.6999999999999997
2019,1,10,5,야,목,경북,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,128.8238856,35.90763144,1.0
2019,1,10,8,주,목,충남,차량단독,안전운전 의무 불이행,단일로,승용차,없음,127.0003218,36.87712412,1.0
2019,1,10,12,주,목,경북,차량단독,안전운전 의무 불이행,단일로,이륜차,없음,129.4028186,36.59689091,1.0
2019,1,10,14,주,목,경북,차대차,안전운전 의무 불이행,단일로,화물차,자전거,128.4160289,36.63649988,1.0
2019,1,10,15,주,목,전남,차대차,기타,교차로,자전거,승용차,126.9096681,34.67995747,1.0
2019,1,10,16,주,목,경남,차대차,안전운전 의무 불이행,단일로,승용차,원동기장치자전거,127.9691231,35.03919313,1.0
2019,1,10,18,야,목,경기,차대사람,보행자 보호의무 위반,교차로,화물차,보행자,126.8779733,37.5957228,1.0
2019,1,10,20,야,목,충북,차대차,과속,기타,승용차,승용차,127.7746929,36.96285504,1.0
2019,1,10,20,야,목,경북,차대차,신호위반,교차로,승용차,승용차,128.2906685,36.37702882,2.4
2019,1,10,23,야,목,충남,차대차,안전운전 의무 불이행,교차로,화물차,특수차,126.7833933,36.94524438,1.0
2019,1,11,5,야,금,경북,차대차,안전운전 의무 불이행,단일로,특수차,화물차,129.0086849,35.90968858,1.3
2019,1,11,6,주,금,경기,차대차,신호위반,교차로,승용차,승용차,127.0463113,37.81058245,1.3
2019,1,11,7,주,금,경기,차대사람,보행자 보호의무 위반,교차로,화물차,보행자,127.252489,37.39202376,1.0
2019,1,11,8,주,금,경기,차대사람,안전운전 의무 불이행,기타,승용차,보행자,126.8399986,37.64873122,1.0
2019,1,11,14,주,금,충북,차대차,안전운전 의무 불이행,교차로,화물차,원동기장치자전거,127.4439144,36.9889409,1.0
2019,1,11,15,주,금,충남,차대차,안전운전 의무 불이행,단일로,화물차,이륜차,127.1062422,36.23710288,1.0
2019,1,11,17,주,금,제주,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,126.3538391,33.28431752,2.0
2019,1,11,22,야,금,경북,차대차,신호위반,교차로,화물차,승용차,128.4029323,35.93785191,1.3
2019,1,11,23,야,금,충남,차대사람,안전운전 의무 불이행,단일로,승합차,보행자,127.1328233,36.80767918,1.0
2019,1,12,5,야,토,대구,차대차,신호위반,교차로,승용차,승합차,128.4698345,35.69368672,4.8
2019,1,12,5,야,토,경기,차대차,안전운전 의무 불이행,단일로,승용차,건설기계,127.03411,37.72913682,1.0
2019,1,12,6,주,토,경기,차대차,안전운전 의무 불이행,교차로,승용차,자전거,126.7785744,37.49564901,1.0
2019,1,12,7,주,토,강원,차대차,중앙선 침범,단일로,승용차,화물차,127.9283553,37.3580748,2.4
2019,1,12,9,주,토,경기,차대차,안전운전 의무 불이행,단일로,이륜차,건설기계,126.8508122,37.61624415,1.0
2019,1,12,11,주,토,경북,차대사람,과속,단일로,승용차,보행자,128.6486792,36.47906348,1.0
2019,1,12,12,주,토,경기,차대차,안전운전 의무 불이행,단일로,건설기계,승용차,127.3098451,37.37363081,3.3999999999999995
2019,1,12,20,야,토,경기,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,126.9394889,37.19460169,1.0
2019,1,12,20,야,토,경기,차대차,중앙선 침범,단일로,승용차,승합차,126.7006362,37.14991348,1.9
2019,1,12,21,야,토,경기,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,126.6994163,37.62300243,1.0
2019,1,12,22,야,토,인천,차대사람,안전운전 의무 불이행,교차로,승합차,보행자,126.7225009,37.40361669,1.0
2019,1,13,5,야,일,충북,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.793221,36.97858601,1.0
2019,1,13,5,야,일,경기,차대차,안전운전 의무 불이행,단일로,승용차,화물차,127.2398318,37.48796582,4.699999999999999
2019,1,13,7,주,일,충남,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,127.5680694,36.03784361,1.0
2019,1,13,8,주,일,경기,차대차,안전운전 의무 불이행,기타,승용차,특수차,126.7572236,37.62037005,1.0
